,layers,neurons,batch_size,Cloud,Pressure,Rel-hum,Dew-point,Wind_cos,Wind_sin,Wind_sp,P_lag_1,P_lag_2,P_lag_3,d_cos,d_sin,w_cos,w_sin,m_cos,m_sin,MAE_train,MSE_train,IA_train,R2_train,MAE_val,MSE_val,IA_val,R2_val,MAE_test,MSE_test,IA_test,R2_test
232,3.0,42.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.04416691688755,273.95798967196924,0.9706636933283396,0.8912102618252693,9.860304393340037,207.74140283868917,0.969822378409569,0.8895378608603894,10.957062172244118,219.7018878971341,0.9804284881924995,0.9292119987934445
233,3.0,29.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.173713320473064,274.09415074450055,0.9704841503926326,0.8911443185488979,9.996021340285925,209.16977821463254,0.9693169318623869,0.8884510297978451,11.146134846538633,217.4202111216665,0.9807356617639155,0.9299471556001553
234,3.0,46.0,46.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.839930435805817,149.72487355802713,0.9845799175388624,0.9406516378705896,6.947803147664703,121.51978050574166,0.9835593786193857,0.9362473521070944,7.744929168923324,120.27720318633641,0.9898888432346531,0.9612466561586313
235,3.0,45.0,36.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.831054660472574,149.65775794856793,0.9845822114846355,0.9407197301216148,6.976298655057265,122.58603509068254,0.9835442583941683,0.9358533942825978,7.607437129224442,117.81075480547605,0.9900418501652491,0.9620413464211108
236,3.0,32.0,29.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.913638685776461,150.69010550178098,0.9843916060377468,0.9403277306483493,6.952048580819262,122.1109832417488,0.9833183213355707,0.9353865419010589,7.592324726496095,117.1352562200246,0.9901361385417249,0.9622589922280707
237,3.0,42.0,9.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8166072581326445,147.4927778267474,0.9846969873549991,0.9416313659298983,6.914390683230582,119.24942497069117,0.9838349209044046,0.9373336558278013,7.7106051016088175,119.17378264605587,0.989963161705103,0.9616021785225232
238,2.0,40.0,11.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.884273825599208,149.6929290107502,0.9845493046698024,0.94070491692688,6.883545649122576,119.83891588913997,0.9839517887719071,0.9375202914051752,7.667232633632541,118.95849298734967,0.9898777999133928,0.9616715449024216
239,3.0,34.0,18.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.879704760140794,150.3436275128362,0.9845214123744833,0.9405764399257484,7.055510644638133,124.47834970997702,0.9833643266340764,0.9350102031011642,7.958412977642445,125.67995881131205,0.9893663501695247,0.9595058869947424
240,3.0,43.0,24.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7682167506863085,147.24502815142446,0.9849379032713494,0.9417091593917464,6.868400079277328,118.58804894643573,0.9839074514055257,0.937532909070879,7.945029124024485,125.13708950783901,0.9895622129787742,0.9596807996150983
241,2.0,42.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.785339354240641,148.07401632600786,0.9847913563004553,0.9413715615321829,6.931452125697766,120.65025095140547,0.9839329743827596,0.9373690170113053,8.011626385855513,128.05455646238465,0.9895124817414379,0.9587407910595271
242,3.0,46.0,53.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.84608752876912,150.2390291419272,0.9845709568889913,0.9404621903679504,6.917283591773087,122.30320320051587,0.9836108473366947,0.9361396437333336,7.6749545166623125,118.37814654743207,0.9900219245440003,0.9618585326651682
243,2.0,40.0,11.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.884273825599208,149.6929290107502,0.9845493046698024,0.94070491692688,6.883545649122576,119.83891588913997,0.9839517887719071,0.9375202914051752,7.667232633632541,118.95849298734967,0.9898777999133928,0.9616715449024216
244,4.0,43.0,30.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.853256682300497,150.50327502116392,0.9845634173609261,0.9403638382429944,6.966686353863608,121.76651221220303,0.9835552814456052,0.9359394781922763,7.741124904511787,120.92817779902589,0.9896945214194566,0.9610369119816031
245,3.0,41.0,32.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.797788229632979,147.89807628113942,0.9847229415019756,0.9414750820775601,6.970528978499718,120.46827974717525,0.9836827981498171,0.9364363021600921,7.775288777276824,120.24056470708604,0.9898046219946395,0.9612584610854719
246,2.0,40.0,10.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.880434658873971,149.53555965771298,0.9845176201244186,0.940782215072242,6.873099437263361,119.59525032618141,0.9839283968839262,0.937688268900455,7.871899138237476,123.35607089565947,0.989480981806725,0.9602546442409893
247,2.0,47.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.934466620293231,151.55635853858146,0.9842877969962969,0.9399716279215802,6.982095096332247,122.78315809271379,0.9832171640125198,0.935526425216719,7.63858424661075,119.71766709347739,0.9900396868152049,0.9614269388225424
248,2.0,33.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9188108363127245,151.05872256829105,0.9843725577207524,0.9402037764052793,6.975921811079489,121.90441518416462,0.9837249793924882,0.9368834054557383,7.662521898609764,118.99728118488429,0.9898392132562529,0.9616590473358319
249,2.0,49.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.94147104855036,149.59813480525938,0.9844517148190604,0.9407609908122412,6.976875624727827,119.94549614653292,0.983625969469563,0.9371121336824956,7.568696986262493,118.19033023583911,0.9899357442187051,0.9619190471260083
